Companies,LD_follower_change,FB_likes_change,FB_talking_change
google,9.898790650898883e-11,6.152093772700491e-11,-2.1463345058070946e-12
amazon,9.50134406793355e-11,2.520892941143826e-11,-4.73005757517971e-12
linkedin,5.498469898158106e-11,8.510947102814365e-12,1.601956900254385e-12
the wall street journal,5.3683765163981265e-11,0.0,0.0
apple,5.133763829995892e-11,0.0,0.0
tesla,4.998173622768117e-11,3.341654594329297e-11,-9.056714225205221e-13
microsoft,4.977649412784863e-11,6.34666520392209e-11,3.5475649991075064e-12
ibm,3.7620889861237136e-11,1.715533680822742e-12,1.600360521424935e-12
facebook,3.374740554427856e-11,2.754824899350297e-10,2.4772416452317508e-11
facebook,3.374740554427856e-11,2.754824899350297e-10,2.4772416452317508e-11
unilever,3.311341179940737e-11,4.045052872446559e-12,1.4242038812998077e-12
ge,2.583784677838652e-11,9.719283232246502e-13,2.6998109112034285e-13
aon,2.500043875129372e-11,0.0,0.0
accenture,2.334027073402374e-11,3.5272414670513164e-12,1.6551338141704276e-14
oracle,2.247965756274008e-11,4.971250878371016e-11,1.3600467562453235e-11
johnson & johnson,2.022978688077395e-11,0.0,0.0
the walt disney company,1.992291534562695e-11,0.0,0.0
netflix,1.9465675522645672e-11,4.262644492274034e-10,3.814149081719121e-11
netflix,1.9465675522645672e-11,4.262644492274034e-10,3.814149081719121e-11
the coca-cola company,1.8850147605031387e-11,0.0,0.0
the new york times,1.7329349052099333e-11,0.0,0.0
pepsico,1.6908088565051472e-11,1.5638649391187815e-12,-3.474159167461133e-14
nike,1.1406378690884451e-11,1.1210833358886998e-10,1.1404706758838485e-11
spotify,6.78643495926825e-12,1.302638222790945e-10,4.079106091274603e-12
gerdau,3.948891585219908e-12,2.2164351851851858e-12,1.0983796296296297e-11
wayfair,1.506083435373499e-12,8.149421251120502e-11,1.7201047299941547e-12
yahoo,1.1431587756882143e-12,4.453599582735187e-11,1.7483254158549947e-10
groupon,9.539225615010414e-13,1.0725405942127598e-10,-1.2421754885663901e-13
wwe,3.7692578176565404e-13,3.432670419872796e-11,2.1894273367631304e-11
lightinthebox,1.8275474405532486e-14,1.193218455618673e-10,-1.371876800389325e-11
alibabaus,0.0,3.258995641188038e-10,9.987225410239684e-12
marvel,0.0,2.451791104034513e-10,-1.5731855607313436e-12
kiplingusa,0.0,2.0742705753529003e-10,-4.607730425982685e-14
bookingcom,0.0,2.0597576322609386e-10,5.258535026887407e-12
kfc,0.0,1.7179316752255944e-10,-7.172694366321257e-13
mercadolibre,0.0,1.6082455311675632e-10,1.1062872410312198e-11
mcdonalds,0.0,1.5881564547110605e-10,-6.662107583328125e-13
nukusa,0.0,1.3722005871208537e-10,-1.5636069870867503e-14
trivagous,0.0,1.336605368174127e-10,7.338089639679423e-13
dominos,0.0,1.1218834032536788e-10,2.8398069306040748e-12
delta,0.0,9.033607237888414e-11,-4.1227481313690935e-13
nytimes,0.0,4.359668644729608e-11,1.7931163173186394e-11
tommyhilfiger,0.0,3.486044025910156e-11,1.1233217079090257e-11
espn,0.0,2.5495855175167596e-11,2.0687454924360262e-11
cmlauncher,0.0,2.0522402569629635e-11,1.2245593596388272e-11
cbsnews,0.0,1.9901964568886823e-11,8.031221108313885e-11
collegehumor,0.0,1.6480515100241783e-11,1.351012863438499e-11
azcentral,0.0,5.922204632050006e-12,1.924434975005024e-11
thesun,0.0,5.888677537763432e-12,1.3578298466767906e-11
wreg3,0.0,2.2282805458248626e-12,1.2791679457006482e-11
wtkr3,0.0,9.829783766410603e-13,1.4992155089267013e-11
usatoday,0.0,-1.286150664659488e-10,4.7475012570788566e-11
