,index_x,company_name,dataset_id_x,as_of_date,followers_count,employees_on_platform,link,industry,date_added,date_updated_x,level_0,index_y,dataset_id_y,time,checkins,has_added_app,were_here_count,likes,talking_about_count,facebook_id,date_updated_y
0,1,1800petmeds,890621,2018-07-17,1771,121,https://www.linkedin.com/company/222996,Retail,2018-07-17 16:59:15.556508+00,2018-07-17 16:59:15.556533+00,3383,3383,53006,2018-07-16 04:00:00+00,41,f,30,159898,16831,50179476949,2018-07-17 05:27:15.086511+00
1,4,1st source bank,895297,2018-07-17,3523,921,https://www.linkedin.com/company/22668,Banking,2018-07-17 17:28:27.150267+00,2018-07-17 17:28:27.150321+00,12,12,53097,2018-07-16 04:00:00+00,191,f,0,5316,1048,38312288006,2018-07-17 05:27:55.251137+00
2,6,21 club,2244218,2017-11-07,610,167,https://www.linkedin.com/company/1302788,Restaurants,2017-11-07 22:41:22+00,2017-11-07 22:41:22+00,13,13,901771,2018-07-16 04:00:00+00,9831,f,9831,6994,2279,9981406497,2018-07-17 05:29:05.435302+00
3,13,3m,58407,2018-07-17,852348,58944,https://www.linkedin.com/company/1864,Mechanical or Industrial Engineering,2018-07-17 19:26:37.583769+00,2018-07-17 19:26:37.583819+00,21,21,63344,2018-07-17 04:00:00+00,3416,f,0,4497193,39516,218566214841042,2018-07-18 05:47:09.772799+00
4,31,aar corp.,1340747,2017-11-12,17350,3712,https://www.linkedin.com/company/207350,Airlines/Aviation,2017-11-12 05:39:28.788104+00,2017-11-12 05:39:28.788154+00,35,35,62816,2018-07-17 04:00:00+00,174,f,174,1742,346,460036034052947,2018-07-18 05:44:15.519023+00
5,32,"aaron brothers, inc.",1333074,2018-07-17,1327,466,https://www.linkedin.com/company/6036,Retail,2018-07-17 16:35:32.027164+00,2018-07-17 16:35:32.027214+00,36,36,1333087,2018-07-16 04:00:00+00,0,f,663,19112,1273,47820441420,2018-07-17 05:26:42.99038+00
6,33,"aaron's, inc",869847,2018-07-17,11718,5098,https://www.linkedin.com/company/13768,Retail,2018-07-17 17:56:39.919996+00,2018-07-17 17:56:39.920021+00,37,37,55637,2018-07-16 04:00:00+00,4,f,34977,974247,64655,138735179741,2018-07-17 05:28:34.009208+00
7,36,abb,1339694,2018-07-17,1154903,95566,https://www.linkedin.com/company/277579,Electrical/Electronic Manufacturing,2018-07-17 17:57:01.827094+00,2018-07-17 17:57:01.827145+00,40,40,53189,2018-07-16 04:00:00+00,1075,f,0,577590,57027,16524057261,2018-07-17 05:28:34.644453+00
8,38,abbott,868122,2018-07-17,1122343,69863,https://www.linkedin.com/company/1612,Hospital &amp; Health Care,2018-07-17 17:57:35.129586+00,2018-07-17 17:57:35.129613+00,42,42,53192,2018-07-17 04:00:00+00,0,f,0,201441,100805,325742687481903,2018-07-18 05:44:09.555194+00
9,47,about.com,2020952,2018-02-17,7624,443,https://www.linkedin.com/company/6257,Internet,2018-02-17 19:25:12+00,2018-02-17 19:25:12+00,50,50,57514,2017-05-03 04:00:00+00,224,f,0,235102,56076,10913332166,2017-05-03 14:45:39.815344+00
