,company_name,as_of_date,followers_count,employees_on_platform,industry,checkins,has_added_app,were_here_count,likes,talking_about_count,stock_symbol
0,1800petmeds,2018-07-17,1771,121,Retail,41,f,30,159898,16831,
1,1st source bank,2018-07-17,3523,921,Banking,191,f,0,5316,1048,
2,21 club,2017-11-07,610,167,Restaurants,9831,f,9831,6994,2279,
3,3m,2018-07-17,852348,58944,Mechanical or Industrial Engineering,3416,f,0,4497193,39516,
4,aar corp.,2017-11-12,17350,3712,Airlines/Aviation,174,f,174,1742,346,AIR
5,"aaron brothers, inc.",2018-07-17,1327,466,Retail,0,f,663,19112,1273,TOL
6,"aaron's, inc",2018-07-17,11718,5098,Retail,4,f,34977,974247,64655,AAON
7,abb,2018-07-17,1154903,95566,Electrical/Electronic Manufacturing,1075,f,0,577590,57027,
8,abbott,2018-07-17,1122343,69863,Hospital &amp; Health Care,0,f,0,201441,100805,
9,about.com,2018-02-17,7624,443,Internet,224,f,0,235102,56076,
10,"abx air, inc.",2018-07-17,3334,932,Airlines/Aviation,0,f,0,163,40,VXRT
11,accelerate diagnostics,2018-07-17,2877,226,Medical Devices,0,f,0,1154,25906,AXDX
12,accenture,2018-07-17,3409892,380166,Information Technology and Services,0,f,0,569906,24114,ACN
13,accuray,2018-07-17,18617,1007,Medical Devices,0,f,110,1152447,152890,
14,aci worldwide,2018-07-17,32487,4823,Computer Software,0,f,0,2496,281,ACIW
15,activision,2018-07-17,114991,2455,Computer Games,0,f,0,885788,55279,
16,acuity brands,2018-07-17,22148,2597,Electrical/Electronic Manufacturing,0,f,0,4672,1162,AYI
17,addus homecare,2018-07-17,7338,2157,Hospital &amp; Health Care,465,f,0,3085,178,
18,adobe,2018-07-17,1035333,18911,Computer Software,0,f,0,1193455,18731,
19,adt,2018-07-17,51558,17145,Security and Investigations,0,f,0,583453,46073,
20,adtalem global education,2018-07-17,30836,705,Education Management,95,f,95,466,20,ATGE
21,advance auto parts,2018-07-17,44236,13215,Retail,4166,f,442031,1782296,178859,AAP
22,aegon,2018-07-17,42594,40907,Financial Services,1096,f,0,11064,2281,AEH
23,aemetis,2018-07-17,291,20,Renewables &amp; Environment,5,f,5,106,34,
24,aerohive networks,2018-07-17,18669,618,Wireless,411,f,411,3712,180,HIVE
25,aerojet rocketdyne,2018-07-17,26959,4011,Defense &amp; Space,0,f,0,14575,6988,
26,aerovironment,2018-07-17,19348,723,Electrical/Electronic Manufacturing,0,f,0,4830,623,AVAV
27,"aethlon medical, inc.",2018-07-17,935,19,Medical Devices,2,f,2,4012,116,AEMD
28,aetna,2018-07-17,181795,33560,Insurance,0,f,0,95891,38230,
29,affymetrix,2018-07-17,16307,886,Biotechnology,446,f,0,23423,488,
30,agenus,2018-07-17,5493,271,Biotechnology,11,f,11,129,10,
31,agoda,2018-02-17,67343,2672,Internet,0,f,0,3050285,226953,
32,aimco apartment homes,2018-07-17,14998,1779,Real Estate,253,f,0,1643,168,
33,air products,2018-07-17,93321,11064,Chemicals,14,f,14,10950,15878,
34,akamai technologies,2018-07-17,112633,6826,Internet,0,f,0,331822,123105,AKAM
35,alarm.com,2018-07-17,8689,702,Information Technology and Services,0,f,0,108332,1522,
36,alaska airlines,2018-07-17,70394,9284,Airlines/Aviation,14110,f,1238188,1039334,139198,
37,alcon,2018-07-17,214086,21138,Medical Devices,0,f,0,45442,2057,
38,"allegion, plc",2018-07-17,28281,3959,Security and Investigations,207,f,190,7158,53602,ALLE
39,allergan,2018-07-17,319793,23049,Pharmaceuticals,292,f,292,237088,16753,AGN
40,allete,2018-07-17,1879,321,Utilities,12,f,0,355,50,
41,alliance data,2018-07-17,25873,15189,Marketing and Advertising,209,f,209,5678,30980,
42,alliance healthcare services,2018-07-17,7296,1257,Hospital & Health Care,661,f,661,211,125,AMN
43,alliant energy,2018-07-17,14306,2449,Utilities,1006,f,0,15924,34001,
44,allison transmission,2018-07-17,14155,1906,Automotive,0,f,0,129395,36080,
45,"allmand bros., inc.",2018-07-17,650,106,Machinery,123,f,0,779,190,
46,allmodern.com,2018-03-23,76,2,Furniture,0,f,0,752887,30409,
47,allscripts,2018-07-17,77909,9204,Computer Software,88,f,73,5736,624,
48,allstate,2018-07-17,169767,60038,Insurance,920,f,219860,812954,50099,
49,ally,2018-07-17,53543,8760,Financial Services,0,f,0,341716,70175,
50,alpha advanced materials,2018-07-17,87,26,Electrical/Electronic Manufacturing,1,f,1,18,4,
51,alpha assembly solutions,2018-07-17,2590,674,Electrical/Electronic Manufacturing,28,f,28,193,36,
52,alphatec spine,2018-07-17,11344,340,Medical Devices,366,f,366,145,5,
53,alteryx,2018-07-17,44866,748,Information Technology and Services,0,f,0,4166,422,
54,amazon,2018-07-17,5188572,261440,Internet,1734,f,0,29039696,567728,
55,ambarella inc,2018-07-17,6341,465,Semiconductors,0,f,0,514,170,AMBA
56,ambient corporation,2018-02-17,542,55,Utilities,0,f,0,1960,208,NAVI
57,amc networks,2018-07-17,46921,2034,Entertainment,372,f,372,6971,295,AMCX
58,amc theatres,2018-07-17,21117,4781,Entertainment,0,f,28534778,6335959,597077,
59,amd,2018-07-17,214506,14299,Semiconductors,1580,f,0,2708240,272634,
60,amdocs,2018-07-17,240927,28658,Telecommunications,0,f,0,22849,4532,
61,ameresco,2018-07-17,11492,933,Renewables &amp; Environment,7,f,7,580,10,UHAL
62,american addiction centers,2018-07-17,5937,728,"Health, Wellness and Fitness",442,f,442,21550,921,
63,american airlines,2018-07-17,352532,53055,Airlines/Aviation,67350,f,67350,2411853,95124,
64,american electric power,2018-07-17,44150,8705,Utilities,1720,f,0,16875,3578,AEP^B
65,american express,2018-07-17,703836,64955,Financial Services,8,f,0,7710273,365329,AXP
66,american healthtech,2018-07-17,1044,147,Information Technology and Services,53,f,0,454,206,
67,american intercontinental university,2018-07-17,71773,1076,Higher Education,1773,f,1773,107899,5579,
68,american river bank,2018-07-17,658,90,Banking,77,f,0,1334,864,AMRB
69,american savings bank,2018-07-17,4773,996,Banking,1182,f,0,3609,4075,
70,american water,2018-07-17,13395,2630,Utilities,0,f,0,2324,251,AWK
71,amerigas,2018-07-17,8249,2621,Oil &amp; Energy,0,f,1077,24016,964,
72,amerisourcebergen,2018-07-17,46809,13496,Pharmaceuticals,0,f,0,3947,504,
73,"amkor technology, inc.",2018-07-17,19752,5255,Semiconductors,618,f,618,7204,4795,AMKR
74,amsc,2018-07-17,3684,393,Renewables &amp; Environment,0,f,0,3073521,115351,
75,amv bbdo,2018-07-17,15394,558,Marketing and Advertising,1541,f,1541,13510,32,
76,analog devices,2018-07-17,81307,10123,Semiconductors,929,f,0,119624,65946,ADI
77,angie's list,2018-07-17,12983,1480,Internet,3535,f,3535,245897,7561,
78,anixter,2018-07-17,64513,5717,Wholesale,365,f,365,6271,1601,
79,ann taylor,2018-02-17,8686,1667,Retail,0,f,12550,1195767,43909,
80,"ansys, inc.",2018-07-17,58027,3383,Computer Software,414,f,0,102456,8558,ANSS
81,anthem,2018-03-09,42657,11891,Insurance,0,f,19,809572,21565,
82,anthem worldwide,2018-07-17,4127,207,Design,34,f,0,1016,24,
83,aol,2018-07-17,152416,12933,Internet,7593,f,0,1906721,1636915,
84,aon benfield,2018-07-17,23109,2992,Insurance,61,f,61,1231,140,
85,apache energy,2018-02-17,4375,101,Oil & Energy,10,f,10,252,188,
86,"apogee enterprises, inc.",2018-07-17,2034,146,Building Materials,12,f,12,399,157,APOG
87,appfolio inc.,2017-07-31,5842,559,Computer Software,348,f,348,26324,1143,APPF
88,applebee's,2017-03-16,41300,3369,Restaurants,1,f,26751270,6223079,238438,
89,"appliancesmart, inc.",2018-07-17,57,1,Retail,0,f,2,2059,33,PSMT
90,applied materials,2018-07-17,136278,17425,Semiconductors,2413,f,2413,7935,1147,AMAT
91,"applied optoelectronics, inc.",2018-07-17,1966,224,Telecommunications,148,f,148,310,169,AAOI
92,aptiv,2018-07-17,28599,7042,Electrical/Electronic Manufacturing,15971,f,0,129144,8461,
93,aqua america,2018-07-17,5646,844,Utilities,0,f,0,22523,939,WTRU
94,aramark,2018-07-17,151661,33167,Retail,2307,f,0,59255,15710,ARMK
95,aramark uniform services,2018-07-17,16604,4350,Facilities Services,54,f,0,10616,1019,
96,arbor realty trust,2018-07-17,6569,417,Commercial Real Estate,0,f,0,47,4,ABR^C
97,arc document solutions,2018-07-17,6228,1454,Information Technology and Services,31,f,0,5462,72,ARC
98,"arc group worldwide, inc.",2018-07-17,1309,64,Mechanical or Industrial Engineering,0,f,0,27910,6251,ACIW
99,arcelormittal,2018-07-17,258284,30363,Mining &amp; Metals,40,f,51,4689,4324,MT
100,architect digital agency,2018-02-17,1300,13,Marketing and Advertising,24,f,24,2452,11,
101,arconic,2018-07-17,25183,5354,Mechanical or Industrial Engineering,0,f,0,24540,12784,
102,arista networks,2018-07-17,86909,2019,Computer Networking,1826,f,1826,23218,3989,ANET
103,ark restaurants,2018-07-17,1915,224,Food &amp; Beverages,83,f,83,235,19,ARKR
104,ashland inc,2016-09-25,44904,5361,Chemicals,283,f,282,3897,3000,
105,asml,2018-07-17,106927,16216,Semiconductors,970,f,0,54336,5152,
106,aspen aerogels,2018-07-17,2109,182,Oil &amp; Energy,43,f,43,794,94,ASPN
107,associated bank,2018-07-17,14753,4477,Financial Services,292,f,292,35494,6733,ASB^E
108,astrazeneca,2018-07-17,717760,57200,Pharmaceuticals,468,f,468,27449,527,AZN
109,astronics aes,2018-07-17,2637,433,Aviation &amp; Aerospace,0,f,0,105,91,
110,at&t,2018-07-17,813682,230061,Telecommunications,0,f,434975,6837915,190623,
111,athenahealth,2018-07-17,49567,5285,Information Technology and Services,3000,f,3000,23427,2627,
112,athersys,2018-07-17,1226,76,Biotechnology,9,f,9,488,159,
113,athleta,2018-02-17,29127,1781,Apparel & Fashion,6,f,63497,513968,30570,
114,atlantic capital bank,2018-07-17,1359,611,Banking,142,f,0,2038,222,
115,atlantic stewardship bank,2018-07-17,464,107,Banking,2,f,2,1077,122,
